iter	Passed	Remaining
0	140	140834
1	141	70755
2	142	47325
3	142	35596
4	143	28564
5	144	23869
6	144	20515
7	145	18001
8	145	16047
9	146	14479
10	146	13209
11	147	12166
12	148	11270
13	149	10501
14	149	9849
15	150	9275
16	151	8763
17	152	8298
18	152	7881
19	153	7504
20	153	7164
21	154	6855
22	154	6573
23	155	6313
24	155	6074
25	156	5854
26	156	5650
27	157	5461
28	158	5297
29	158	5136
30	159	4984
31	160	4841
32	161	4722
33	161	4599
34	162	4480
35	163	4370
36	163	4262
37	164	4159
38	164	4061
39	165	3968
40	165	3879
41	166	3795
42	166	3715
43	167	3637
44	167	3564
45	169	3507
46	169	3442
47	170	3380
48	171	3321
49	171	3263
50	172	3206
51	172	3151
52	173	3104
53	174	3056
54	175	3009
55	175	2962
56	176	2916
57	176	2870
58	177	2826
59	177	2784
60	178	2743
61	178	2703
62	179	2666
63	180	2639
64	181	2605
65	181	2571
66	182	2538
67	182	2507
68	183	2479
69	184	2450
70	185	2421
71	185	2391
72	186	2362
73	186	2333
74	187	2306
75	187	2279
76	188	2254
77	188	2229
78	189	2204
79	189	2179
80	190	2156
81	190	2133
82	190	2108
83	191	2091
84	192	2071
85	193	2051
86	193	2031
87	194	2012
88	194	1994
89	195	1978
90	196	1960
91	196	1943
92	197	1925
93	197	1907
94	198	1890
95	198	1873
96	199	1856
97	199	1839
98	200	1823
99	200	1807
100	201	1791
101	201	1777
102	202	1764
103	204	1758
104	204	1746
105	205	1735
106	206	1726
107	207	1715
108	208	1702
109	208	1689
110	209	1676
111	209	1664
112	210	1651
113	210	1639
114	211	1626
115	211	1615
116	212	1602
117	212	1591
118	213	1579
119	213	1568
120	215	1562
121	216	1557
122	217	1548
123	217	1538
124	218	1532
125	219	1524
126	220	1513
127	220	1505
128	221	1496
129	222	1487
130	223	1479
131	223	1471
132	224	1462
133	225	1454
134	225	1446
135	227	1444
136	228	1436
137	228	1428
138	230	1425
139	230	1418
140	231	1411
141	232	1402
142	232	1394
143	233	1387
144	234	1380
145	234	1373
146	235	1365
147	236	1358
148	236	1352
149	237	1345
150	239	1344
151	239	1337
152	240	1332
153	241	1327
154	243	1325
155	243	1319
156	244	1313
157	245	1306
158	245	1299
159	246	1292
160	246	1284
161	246	1277
162	247	1270
163	247	1263
164	248	1257
165	249	1251
166	250	1247
167	251	1244
168	251	1238
169	252	1233
170	253	1228
171	253	1222
172	254	1217
173	255	1211
174	255	1206
175	256	1201
176	257	1196
177	257	1191
178	258	1185
179	258	1179
180	259	1173
181	259	1167
182	260	1162
183	260	1156
184	261	1152
185	262	1148
186	262	1143
187	263	1138
188	264	1133
189	264	1128
190	265	1125
191	266	1120
192	266	1115
193	267	1110
194	267	1105
195	268	1100
196	268	1095
197	269	1090
198	269	1085
199	270	1080
200	270	1075
201	271	1071
202	271	1066
203	272	1062
204	272	1057
205	273	1055
206	274	1050
207	274	1046
208	275	1043
209	276	1038
210	277	1036
211	277	1032
212	278	1029
213	279	1025
214	279	1020
215	280	1016
216	280	1012
217	280	1007
218	281	1003
219	281	999
220	282	995
221	282	991
222	283	987
223	283	983
224	284	979
225	286	981
226	287	978
227	287	975
228	288	972
229	289	969
230	290	966
231	290	962
232	291	959
233	291	955
234	292	951
235	292	948
236	293	944
237	293	940
238	294	937
239	294	933
240	295	929
241	295	926
242	296	922
243	297	921
244	297	918
245	298	915
246	299	912
247	299	909
248	300	906
249	301	903
250	301	900
251	302	897
252	302	894
253	303	890
254	303	887
255	304	884
256	304	881
257	305	877
258	305	874
259	306	871
260	306	868
261	307	865
262	307	862
263	308	859
264	309	857
265	309	854
266	310	851
267	310	849
268	311	846
269	312	844
270	313	842
271	313	839
272	314	836
273	314	833
274	315	831
275	315	828
276	316	825
277	316	822
278	317	819
279	317	816
280	318	813
281	318	811
282	319	808
283	319	806
284	320	804
285	321	802
286	321	799
287	322	797
288	323	795
289	323	793
290	324	790
291	325	788
292	325	786
293	326	783
294	326	781
295	327	778
296	327	776
297	328	773
298	328	771
299	329	768
300	329	766
301	330	763
302	330	761
303	332	760
304	332	758
305	333	756
306	333	753
307	334	751
308	335	750
309	336	748
310	336	746
311	337	743
312	337	741
313	338	738
314	338	736
315	339	734
316	339	731
317	340	729
318	340	727
319	341	725
320	341	722
321	342	720
322	342	718
323	344	717
324	344	715
325	345	714
326	346	712
327	346	710
328	347	708
329	347	706
330	348	704
331	349	702
332	349	700
333	350	698
334	350	696
335	351	694
336	351	692
337	352	689
338	352	687
339	353	685
340	353	683
341	355	683
342	356	682
343	360	688
344	361	686
345	362	685
346	363	683
347	364	682
348	364	680
349	365	678
350	365	676
351	366	674
352	367	674
353	368	672
354	369	670
355	369	668
356	370	667
357	371	665
358	371	664
359	372	662
360	373	660
361	373	658
362	374	656
363	374	654
364	375	652
365	375	650
366	376	648
367	376	646
368	377	644
369	377	642
370	378	640
371	378	639
372	379	638
373	380	636
374	380	634
375	381	633
376	382	631
377	383	630
378	383	629
379	384	627
380	385	625
381	385	623
382	386	621
383	386	620
384	387	618
385	387	616
386	387	614
387	388	612
388	388	610
389	389	609
390	390	607
391	391	606
392	392	605
393	392	603
394	393	602
395	393	600
396	394	599
397	395	597
398	395	596
399	396	594
400	396	592
401	397	591
402	397	589
403	398	587
404	398	585
405	399	584
406	399	582
407	400	580
408	400	579
409	401	577
410	401	575
411	402	574
412	403	573
413	403	571
414	404	570
415	405	568
416	406	567
417	407	566
418	407	565
419	408	564
420	409	562
421	409	560
422	410	559
423	410	557
424	411	556
425	411	554
426	412	552
427	412	551
428	413	549
429	413	548
430	414	547
431	415	546
432	416	544
433	416	543
434	417	542
435	418	541
436	418	539
437	419	538
438	421	538
439	421	537
440	422	535
441	422	533
442	423	532
443	423	530
444	424	529
445	424	527
446	425	526
447	426	525
448	427	524
449	427	522
450	428	521
451	428	519
452	429	518
453	430	517
454	431	516
455	431	515
456	432	513
457	432	512
458	433	510
459	434	509
460	434	508
461	434	506
462	435	505
463	436	503
464	436	502
465	437	500
466	438	500
467	439	499
468	440	498
469	441	497
470	442	496
471	443	495
472	443	494
473	444	493
474	445	492
475	446	490
476	447	490
477	448	489
478	448	488
479	450	488
480	451	487
481	452	486
482	453	485
483	454	484
484	455	483
485	455	482
486	456	480
487	456	479
488	457	477
489	457	476
490	458	475
491	458	473
492	459	472
493	459	470
494	460	469
495	460	468
496	461	467
497	462	466
498	463	465
499	463	463
500	464	462
501	465	461
502	465	460
503	466	459
504	467	457
505	467	456
506	468	455
507	468	453
508	469	452
509	469	451
510	470	449
511	470	448
512	471	447
513	471	445
514	471	444
515	472	443
516	473	442
517	474	441
518	475	440
519	475	439
520	476	438
521	477	437
522	478	436
523	478	434
524	479	433
525	479	432
526	480	430
527	480	429
528	481	428
529	481	427
530	482	426
531	483	425
532	483	423
533	484	423
534	485	422
535	486	421
536	487	420
537	488	419
538	488	418
539	489	416
540	491	416
541	491	415
542	492	414
543	493	413
544	493	412
545	494	410
546	494	409
547	495	408
548	496	407
549	497	406
550	498	405
551	498	404
552	499	403
553	500	402
554	500	401
555	501	400
556	501	399
557	502	398
558	503	396
559	503	395
560	503	394
561	504	393
562	504	391
563	505	390
564	506	389
565	507	388
566	507	387
567	508	386
568	509	385
569	510	385
570	511	384
571	511	382
572	512	381
573	512	380
574	513	379
575	513	378
576	514	377
577	514	375
578	515	374
579	515	373
580	516	372
581	517	371
582	518	370
583	518	369
584	519	368
585	519	367
586	520	366
587	521	365
588	521	364
589	522	363
590	523	362
591	523	361
592	524	359
593	524	358
594	525	357
595	525	356
596	526	355
597	526	354
598	527	353
599	527	351
600	529	351
601	529	350
602	530	349
603	530	348
604	531	346
605	532	345
606	533	345
607	533	344
608	534	342
609	534	341
610	535	340
611	535	339
612	536	338
613	536	337
614	537	336
615	537	335
616	538	334
617	538	332
618	539	331
619	539	330
620	540	329
621	541	328
622	541	327
623	542	326
624	542	325
625	543	324
626	544	323
627	545	322
628	545	321
629	546	320
630	546	319
631	547	318
632	547	317
633	548	316
634	548	315
635	549	314
636	549	313
637	550	312
638	550	311
639	551	309
640	551	308
641	552	308
642	553	307
643	553	306
644	554	305
645	555	304
646	556	303
647	556	302
648	557	301
649	557	300
650	558	299
651	558	298
652	559	297
653	559	296
654	560	295
655	560	293
656	561	292
657	561	291
658	562	290
659	562	289
660	563	288
661	564	288
662	564	287
663	565	286
664	566	285
665	566	284
666	567	283
667	568	282
668	568	281
669	569	280
670	569	279
671	570	278
672	570	277
673	571	276
674	571	275
675	572	274
676	572	273
677	573	272
678	573	271
679	574	270
680	575	269
681	576	268
682	576	267
683	577	266
684	578	265
685	578	265
686	579	264
687	580	263
688	580	262
689	581	261
690	581	260
691	582	259
692	582	258
693	583	257
694	583	256
695	583	255
696	584	254
697	584	253
698	585	252
699	585	251
700	586	250
701	586	249
702	587	248
703	588	247
704	589	246
705	589	245
706	590	244
707	590	243
708	591	242
709	592	241
710	592	240
711	593	239
712	593	239
713	594	238
714	594	237
715	595	236
716	595	235
717	596	234
718	596	233
719	597	232
720	597	231
721	598	230
722	599	229
723	599	228
724	600	227
725	601	226
726	602	226
727	602	225
728	603	224
729	603	223
730	604	222
731	604	221
732	605	220
733	605	219
734	606	218
735	606	217
736	607	216
737	607	215
738	608	214
739	608	213
740	609	212
741	609	211
742	610	211
743	611	210
744	611	209
745	612	208
746	613	207
747	613	206
748	614	205
749	614	204
750	616	204
751	616	203
752	617	202
753	618	201
754	618	200
755	619	199
756	619	198
757	619	197
758	620	197
759	620	196
760	621	195
761	622	194
762	623	193
763	623	192
764	624	191
765	624	190
766	625	190
767	625	189
768	626	188
769	626	187
770	627	186
771	627	185
772	628	184
773	628	183
774	629	182
775	629	181
776	630	180
777	630	179
778	631	179
779	631	178
780	632	177
781	632	176
782	633	175
783	634	174
784	635	173
785	635	173
786	636	172
787	636	171
788	637	170
789	637	169
790	638	168
791	638	167
792	639	166
793	639	165
794	640	165
795	640	164
796	641	163
797	641	162
798	642	161
799	642	160
800	643	159
801	643	158
802	644	158
803	644	157
804	645	156
805	646	155
806	647	154
807	647	153
808	648	153
809	648	152
810	649	151
811	649	150
812	650	149
813	650	148
814	651	147
815	651	146
816	652	146
817	652	145
818	652	144
819	653	143
820	653	142
821	654	141
822	654	140
823	655	139
824	655	139
825	656	138
826	656	137
827	658	136
828	658	135
829	659	135
830	660	134
831	660	133
832	661	132
833	661	131
834	662	130
835	662	129
836	662	129
837	663	128
838	663	127
839	664	126
840	664	125
841	665	124
842	665	124
843	666	123
844	666	122
845	667	121
846	667	120
847	668	119
848	668	118
849	670	118
850	671	117
851	672	116
852	672	115
853	673	115
854	673	114
855	674	113
856	674	112
857	675	111
858	675	110
859	676	110
860	676	109
861	676	108
862	677	107
863	678	106
864	678	105
865	678	105
866	679	104
867	679	103
868	680	102
869	682	101
870	682	101
871	683	100
872	684	99
873	684	98
874	685	97
875	685	97
876	686	96
877	687	95
878	687	94
879	688	93
880	688	93
881	689	92
882	689	91
883	690	90
884	690	89
885	691	88
886	691	88
887	692	87
888	692	86
889	693	85
890	694	85
891	695	84
892	696	83
893	696	82
894	697	81
895	697	80
896	698	80
897	699	79
898	699	78
899	700	77
900	700	76
901	701	76
902	701	75
903	702	74
904	702	73
905	703	72
906	703	72
907	704	71
908	705	70
909	705	69
910	706	69
911	707	68
912	707	67
913	708	66
914	712	66
915	713	65
916	714	64
917	714	63
918	715	63
919	715	62
920	716	61
921	717	60
922	718	59
923	718	59
924	719	58
925	719	57
926	720	56
927	720	55
928	721	55
929	721	54
930	722	53
931	722	52
932	722	51
933	723	51
934	723	50
935	724	49
936	724	48
937	725	47
938	725	47
939	726	46
940	726	45
941	727	44
942	727	43
943	728	43
944	729	42
945	730	41
946	731	40
947	731	40
948	732	39
949	732	38
950	733	37
951	733	36
952	734	36
953	734	35
954	735	34
955	735	33
956	735	33
957	736	32
958	736	31
959	737	30
960	737	29
961	738	29
962	738	28
963	739	27
964	739	26
965	741	26
966	741	25
967	742	24
968	743	23
969	743	23
970	744	22
971	744	21
972	745	20
973	745	19
974	746	19
975	746	18
976	747	17
977	747	16
978	748	16
979	748	15
980	749	14
981	749	13
982	750	12
983	750	12
984	751	11
985	751	10
986	752	9
987	753	9
988	754	8
989	754	7
990	755	6
991	755	6
992	756	5
993	756	4
994	757	3
995	757	3
996	758	2
997	758	1
998	759	0
999	759	0
